TEAM,MEMBER,ORDER,TYPE,ICEDASH,SNOWRALLY,SPEEDSKAT,SNOWBOARD,BIATHLON,SANDMGL
KOBALTS,MEEPO,3,2018.1,,,,,,
KOBALTS,CERULEAN,4,2018.1,,,,,,
TEAM PLASMA,TEAM PLASMA,,2018.1,,,,,,
TEAM PLASMA,PHANTO,1,2018.1,,,,,,
TEAM PLASMA,FEARO,2,2018.1,,,,,,
TEAM PLASMA,GLOOMO,3,2018.1,,,,,,
TEAM PLASMA,ECTO,4,2018.1,,,,,,
TEAM PRIMARY,TEAM PRIMARY,,2018.1,,,,,,
TEAM PRIMARY,MARY,4,2018.1,,,,6.24E-04,8.17E-05,
TEAM PRIMARY,IMAR,1,2018.1,,,,,,
TEAM PRIMARY,RIMA,3,2018.1,,,,,,
TEAM PRIMARY,PRIM,2,2018.1,,,,,6.34E-05,
QUICKSILVERS,QUICKSILVERS,,2018.1,,,,,,
QUICKSILVERS,ARGENT,1,2018.1,,,,,,
QUICKSILVERS,MERCURIAL,2,2018.1,,,,,,
QUICKSILVERS,QUIX,3,2018.1,,,,,,
QUICKSILVERS,SILVERY,4,2018.1,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2018.1,,,,,,
ROJO ROLLERS,ROJO UNO,1,2018.1,,,,,,
ROJO ROLLERS,ROJO DOS,2,2018.1,,,,,,
ROJO ROLLERS,ROJO TRES,3,2018.1,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2018.1,,,,,,
SHINING SWARM,SHINING SWARM,,2018.1,,,,,,
SHINING SWARM,SHINY,1,2018.1,,,,,,
SHINING SWARM,SPARKLE,2,2018.1,,,,,,
SHINING SWARM,SHIMMER,3,2018.1,,,,,,
SHINING SWARM,STERLING,4,2018.1,,,,,,
BALLS OF CHAOS,BALLS OF CHAOS,,2018.2,5.81E-05,0.000578241,,0.000598843,,6.90E-05
BALLS OF CHAOS,ANARCHY,1,2018.2,,,,0.000598843,,
BALLS OF CHAOS,TUMULT,2,2018.2,5.81E-05,,,,,6.90E-05
BALLS OF CHAOS,CLUTTER,3,2018.2,,0.000578241,,,,
BALLS OF CHAOS,SNARL,4,2018.2,,,,,,
CRAZY CAT'S EYES,CRAZY CAT'S EYES,,2018.2,,0.000644676,,0.000611921,,
CRAZY CAT'S EYES,GREEN EYE,1,2018.2,,,,0.000611921,,
CRAZY CAT'S EYES,YELLOW EYE,2,2018.2,,,,,,
CRAZY CAT'S EYES,BLUE EYE,3,2018.2,,,,,,
CRAZY CAT'S EYES,RED EYE,4,2018.2,,0.000644676,,,,
TEAM GALACTIC,TEAM GALACTIC,,2018.2,,0.000614815,,0.000680556,,
TEAM GALACTIC,COSMO,1,2018.2,,,,,,
TEAM GALACTIC,STARRY,2,2018.2,,0.000614815,,0.000680556,,
TEAM GALACTIC,ASTRON,3,2018.2,,,,,,
TEAM GALACTIC,PULSAR,4,2018.2,,,,,,
HAZERS,HAZERS,,2018.2,5.61E-05,0.000619792,,0.000634491,,7.71E-05
HAZERS,HAZY,1,2018.2,5.61E-05,0.000619792,,,,
HAZERS,SMOGGY,2,2018.2,,,,,,7.71E-05
HAZERS,FOGGY,3,2018.2,,,,,,
HAZERS,MISTY,4,2018.2,,,,0.000634491,,
LIMERS,LIMERS,,2018.2,,0.000650694,,0.000578472,,
LIMERS,SUBLIME,1,2018.2,,,,0.000578472,,
LIMERS,SLIMELIME,2,2018.2,,,,,,
LIMERS,GOOLIME,3,2018.2,,,,,,
LIMERS,LEMONLIME,4,2018.2,,0.000650694,,,,
MELLOW YELLOW,MELLOW YELLOW,,2018.2,,0.000647454,,0.000678241,,6.79E-05
MELLOW YELLOW,YELLAH,1,2018.2,,,,,,
MELLOW YELLOW,YELLOW,2,2018.2,,,,,,6.79E-05
MELLOW YELLOW,YELLEY,3,2018.2,,0.000647454,,,,
MELLOW YELLOW,YELLUP,4,2018.2,,,,0.000678241,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2018.2,6.08E-05,0.000550694,,0.000634722,,6.99E-05
MIDNIGHT WISPS,WESPY,1,2018.2,6.08E-05,,,0.000634722,,
MIDNIGHT WISPS,WISPY,2,2018.2,,,,,,6.99E-05
MIDNIGHT WISPS,WOSPY,3,2018.2,,,,,,
MIDNIGHT WISPS,WUSPY,4,2018.2,,0.000550694,,,,
MINTY MANIACS,MINTY MANIACS,,2018.2,,0.000551968,,0.000618056,,
MINTY MANIACS,MINTY DRIZZEL,1,2018.2,,,,,,
MINTY MANIACS,MINTY FLAV,2,2018.2,,,,,,
MINTY MANIACS,MINTY FRESH,3,2018.2,,,,0.000618056,,
MINTY MANIACS,MINTY SWIRL,4,2018.2,,0.000551968,,,,
TEAM MOMO,TEAM MOMO,,2018.2,,0.000526968,,0.000623843,,
TEAM MOMO,MO,1,2018.2,,,,,,
TEAM MOMO,MOMO,2,2018.2,,0.000526968,,,,
TEAM MOMO,MOMOMO,3,2018.2,,,,,,
TEAM MOMO,MOMOMOMO,4,2018.2,,,,,,
TEAM MOMO,MIMO,5,2018.2,,,,,,
OCEANICS,OCEANICS,,2018.2,5.71E-05,0.000704745,,0.000654282,,7.41E-05
OCEANICS,AQUA,1,2018.2,,0.000704745,,,,
OCEANICS,SEA,2,2018.2,5.71E-05,,,,,
OCEANICS,SHORE,3,2018.2,,,,0.000654282,,
OCEANICS,OCEAN,4,2018.2,,,,,,7.41E-05
O'RANGERS,O'RANGERS,,2018.2,6.00E-05,0.000639699,,0.000616319,,
O'RANGERS,CLEMENTIN,1,2018.2,,,,,,
O'RANGERS,KINNOWIN,2,2018.2,6.00E-05,,,,,
O'RANGERS,MANDARIN,3,2018.2,,,,0.000616319,,
O'RANGERS,TANGERIN,4,2018.2,,0.000639699,,,,
PINKIES,PINKIES,,2018.2,6.02E-05,DNF,,0.000605324,,
PINKIES,PINKY WINKY,1,2018.2,,,,0.000605324,,
PINKIES,PINKY DINK,2,2018.2,,DNF,,,,
PINKIES,PINKY ROSA,3,2018.2,6.02E-05,,,,,
PINKIES,PINKY TOE,4,2018.2,,,,,,
RASPBERRY RACERS,RASPBERRY RACERS,,2018.2,,0.000646296,,0.000668403,,7.23E-05
RASPBERRY RACERS,RAZZY,1,2018.2,,,,,,
RASPBERRY RACERS,REZZY,2,2018.2,,,,,,
RASPBERRY RACERS,RIZZY,3,2018.2,,0.000646296,,,,7.23E-05
RASPBERRY RACERS,ROZZY,4,2018.2,,,,0.000668403,,
RASPBERRY RACERS,RUZZY,5,2018.2,,,,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2018.2,5.74E-05,0.000637037,,0.000607639,,7.06E-05
SAVAGE SPEEDERS,SPEEDY,1,2018.2,,,,,,
SAVAGE SPEEDERS,RAPIDLY,2,2018.2,,,,,,
SAVAGE SPEEDERS,SWIFTY,3,2018.2,5.74E-05,,,0.000607639,,
SAVAGE SPEEDERS,WHIZZY,4,2018.2,,0.000637037,,,,7.06E-05
SNOWBALLS,SNOWBALLS,,2018.2,5.78E-05,0.000536574,,0.000608333,,7.41E-05
SNOWBALLS,SNOW,1,2018.2,5.78E-05,,,,,7.41E-05
SNOWBALLS,SNOWY,2,2018.2,,0.000536574,,,,
SNOWBALLS,SNOWFLAKE,3,2018.2,,,,,,
SNOWBALLS,SNOWSTORM,4,2018.2,,,,0.000608333,,
THUNDERBOLTS,THUNDERBOLTS,,2018.2,,0.00068287,,0.0006,,
THUNDERBOLTS,BOLTA,1,2018.2,,,,,,
THUNDERBOLTS,BOLTO,2,2018.2,,,,0.0006,,
THUNDERBOLTS,BOLTU,3,2018.2,,,,,,
THUNDERBOLTS,BOLTY,4,2018.2,,0.00068287,,,,
BLACK JACKS,BLACK JACKS,,2018.2,,,,,,
BLACK JACKS,CLUB,1,2018.2,,,,,,
BLACK JACKS,SPADE,2,2018.2,,,,,,
BLACK JACKS,HEART,3,2018.2,,,,,,
BLACK JACKS,DIAMOND,4,2018.2,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2018.2,,,,,,
CHOCOLATIERS,COCOA,1,2018.2,,,,,,
CHOCOLATIERS,CHOC,2,2018.2,,,,,,
CHOCOLATIERS,MOCHA,3,2018.2,,,,,,
CHOCOLATIERS,BONBON,4,2018.2,,,,,,
GLIDING GLACIERS,GLIDING GLACIERS,,2018.2,,,,,,
GLIDING GLACIERS,GLIDE,1,2018.2,,,,,,
GLIDING GLACIERS,GLIDY,2,2018.2,,,,,,
GLIDING GLACIERS,GLACIE,3,2018.2,,,,,,
GLIDING GLACIERS,GLACIER,4,2018.2,,,,,,
GOLDEN ORBS,GOLDEN ORBS,,2018.2,,,,,,
GOLDEN ORBS,ORBY,1,2018.2,,,,,,
GOLDEN ORBS,GLORBY,2,2018.2,,,,,,
GOLDEN ORBS,GORBY,3,2018.2,,,,,,
GOLDEN ORBS,GOLDBY,4,2018.2,,,,,,
JAWBREAKERS,JAWBREAKERS,,2018.2,,,,,,
JAWBREAKERS,CANDY,1,2018.2,,,,,,
JAWBREAKERS,TAFFY,2,2018.2,,,,,,
JAWBREAKERS,SUGAR,3,2018.2,,,,,,
JAWBREAKERS,SWEET,4,2018.2,,,,,,
JUNGLE JUMPERS,JUNGLE JUMPERS,,2018.2,,,,,,
JUNGLE JUMPERS,HOP,1,2018.2,,,,,,
JUNGLE JUMPERS,LEAP,2,2018.2,,,,,,
JUNGLE JUMPERS,JUMP,3,2018.2,,,,,,
JUNGLE JUMPERS,SKIP,4,2018.2,,,,,,
KOBALTS,KOBALTS,,2018.2,,,,,,
KOBALTS,AZURE,1,2018.2,,,,,,
KOBALTS,GNOME,2,2018.2,,,,,,
KOBALTS,MEEPO,3,2018.2,,,,,,
KOBALTS,CERULEAN,4,2018.2,,,,,,
TEAM PLASMA,TEAM PLASMA,,2018.2,,,,,,
TEAM PLASMA,PHANTO,1,2018.2,,,,,,
TEAM PLASMA,FEARO,2,2018.2,,,,,,
TEAM PLASMA,GLOOMO,3,2018.2,,,,,,
TEAM PLASMA,ECTO,4,2018.2,,,,,,
TEAM PRIMARY,TEAM PRIMARY,,2018.2,,,,,,
TEAM PRIMARY,MARY,1,2018.2,,,,,,
TEAM PRIMARY,IMAR,2,2018.2,,,,,,
TEAM PRIMARY,RIMA,3,2018.2,,,,,,
TEAM PRIMARY,PRIM,4,2018.2,,,,,,
QUICKSILVERS,QUICKSILVERS,,2018.2,,,,,,
QUICKSILVERS,ARGENT,1,2018.2,,,,,,
QUICKSILVERS,MERCURIAL,2,2018.2,,,,,,
QUICKSILVERS,QUIX,3,2018.2,,,,,,
QUICKSILVERS,SILVERY,4,2018.2,,,,,,
ROJO ROLLERS,ROJO ROLLERS,,2018.2,,,,,,
ROJO ROLLERS,ROJO UNO,1,2018.2,,,,,,
ROJO ROLLERS,ROJO DOS,2,2018.2,,,,,,
ROJO ROLLERS,ROJO TRES,3,2018.2,,,,,,
ROJO ROLLERS,ROJO CUATRO,4,2018.2,,,,,,
SHINING SWARM,SHINING SWARM,,2018.2,,,,,,
SHINING SWARM,SHINY,1,2018.2,,,,,,
SHINING SWARM,SPARKLE,2,2018.2,,,,,,
SHINING SWARM,SHIMMER,3,2018.2,,,,,,
SHINING SWARM,STERLING,4,2018.2,,,,,,
BALLS OF CHAOS,BALLS OF CHAOS,,2018.3,5.81E-05,,,,,7.28E-05
BALLS OF CHAOS,ANARCHY,1,2018.3,,,,,,
BALLS OF CHAOS,TUMULT,2,2018.3,5.81E-05,,,,,7.28E-05
BALLS OF CHAOS,CLUTTER,3,2018.3,,,,,,
BALLS OF CHAOS,SNARL,4,2018.3,,,,,,
CRAZY CAT'S EYES,CRAZY CAT'S EYES,,2018.3,5.90E-05,,,,,7.88E-05
CRAZY CAT'S EYES,GREEN EYE,1,2018.3,5.90E-05,,,,,
CRAZY CAT'S EYES,YELLOW EYE,2,2018.3,,,,,,7.88E-05
CRAZY CAT'S EYES,BLUE EYE,3,2018.3,,,,,,
CRAZY CAT'S EYES,RED EYE,4,2018.3,,,,,,
TEAM GALACTIC,TEAM GALACTIC,,2018.3,0.000059375,,,,,7.52E-05
TEAM GALACTIC,COSMO,1,2018.3,,,,,,7.52E-05
TEAM GALACTIC,STARRY,2,2018.3,,,,,,
TEAM GALACTIC,ASTRON,3,2018.3,,,,,,
TEAM GALACTIC,PULSAR,4,2018.3,0.000059375,,,,,
HAZERS,HAZERS,,2018.3,5.83E-05,,,,,7.71E-05
HAZERS,HAZY,1,2018.3,5.83E-05,,,,,
HAZERS,SMOGGY,2,2018.3,,,,,,7.71E-05
HAZERS,FOGGY,3,2018.3,,,,,,
HAZERS,MISTY,4,2018.3,,,,,,
LIMERS,LIMERS,,2018.3,5.88E-05,,,,,7.41E-05
LIMERS,SUBLIME,1,2018.3,5.88E-05,,,,,
LIMERS,SLIMELIME,2,2018.3,,,,,,
LIMERS,GOOLIME,3,2018.3,,,,,,7.41E-05
LIMERS,LEMONLIME,4,2018.3,,,,,,
MELLOW YELLOW,MELLOW YELLOW,,2018.3,5.83E-05,,,,,7.52E-05
MELLOW YELLOW,YELLAH,1,2018.3,,,,,,
MELLOW YELLOW,YELLOW,2,2018.3,,,,,,7.52E-05
MELLOW YELLOW,YELLEY,3,2018.3,,,,,,
MELLOW YELLOW,YELLUP,4,2018.3,5.83E-05,,,,,
MIDNIGHT WISPS,MIDNIGHT WISPS,,2018.3,6.08E-05,,,,,6.85E-05
MIDNIGHT WISPS,WESPY,1,2018.3,6.08E-05,,,,,
MIDNIGHT WISPS,WISPY,2,2018.3,,,,,,6.85E-05
MIDNIGHT WISPS,WOSPY,3,2018.3,,,,,,
MIDNIGHT WISPS,WUSPY,4,2018.3,,,,,,
MINTY MANIACS,MINTY MANIACS,,2018.3,6.08E-05,,,,,7.62E-05
MINTY MANIACS,MINTY DRIZZEL,1,2018.3,6.08E-05,,,,,
MINTY MANIACS,MINTY FLAV,2,2018.3,,,,,,
MINTY MANIACS,MINTY FRESH,3,2018.3,,,,,,7.62E-05
MINTY MANIACS,MINTY SWIRL,4,2018.3,,,,,,
TEAM MOMO,TEAM MOMO,,2018.3,5.95E-05,,,,,0.000078125
TEAM MOMO,MO,1,2018.3,5.95E-05,,,,,0.000078125
TEAM MOMO,MOMO,2,2018.3,,,,,,
TEAM MOMO,MOMOMO,3,2018.3,,,,,,
TEAM MOMO,MOMOMOMO,4,2018.3,,,,,,
TEAM MOMO,MIMO,5,2018.3,,,,,,
OCEANICS,OCEANICS,,2018.3,5.74E-05,,,,,7.41E-05
OCEANICS,AQUA,1,2018.3,,,,,,
OCEANICS,SEA,2,2018.3,5.74E-05,,,,,
OCEANICS,SHORE,3,2018.3,,,,,,
OCEANICS,OCEAN,4,2018.3,,,,,,7.41E-05
O'RANGERS,O'RANGERS,,2018.3,6.00E-05,,,,,7.47E-05
O'RANGERS,CLEMENTIN,1,2018.3,,,,,,
O'RANGERS,KINNOWIN,2,2018.3,6.00E-05,,,,,7.47E-05
O'RANGERS,MANDARIN,3,2018.3,,,,,,
O'RANGERS,TANGERIN,4,2018.3,,,,,,
PINKIES,PINKIES,,2018.3,6.02E-05,,,,,7.62E-05
PINKIES,PINKY WINKY,1,2018.3,,,,,,
PINKIES,PINKY DINK,2,2018.3,,,,,,
PINKIES,PINKY ROSA,3,2018.3,6.02E-05,,,,,
PINKIES,PINKY TOE,4,2018.3,,,,,,7.62E-05
RASPBERRY RACERS,RASPBERRY RACERS,,2018.3,5.97E-05,,,,,7.23E-05
RASPBERRY RACERS,RAZZY,1,2018.3,5.97E-05,,,,,
RASPBERRY RACERS,REZZY,2,2018.3,,,,,,
RASPBERRY RACERS,RIZZY,3,2018.3,,,,,,7.23E-05
RASPBERRY RACERS,ROZZY,4,2018.3,,,,,,
RASPBERRY RACERS,RUZZY,5,2018.3,,,,,,
SAVAGE SPEEDERS,SAVAGE SPEEDERS,,2018.3,5.86E-05,,,,,7.16E-05
SAVAGE SPEEDERS,SPEEDY,1,2018.3,,,,,,
SAVAGE SPEEDERS,RAPIDLY,2,2018.3,,,,,,
SAVAGE SPEEDERS,SWIFTY,3,2018.3,5.86E-05,,,,,
SAVAGE SPEEDERS,WHIZZY,4,2018.3,,,,,,7.16E-05
SNOWBALLS,SNOWBALLS,,2018.3,5.89E-05,,,,,7.41E-05
SNOWBALLS,SNOW,1,2018.3,5.89E-05,,,,,7.41E-05
SNOWBALLS,SNOWY,2,2018.3,,,,,,
SNOWBALLS,SNOWFLAKE,3,2018.3,,,,,,
SNOWBALLS,SNOWSTORM,4,2018.3,,,,,,
THUNDERBOLTS,THUNDERBOLTS,,2018.3,6.04E-05,,,,,7.33E-05
THUNDERBOLTS,BOLTA,1,2018.3,,,,,,
THUNDERBOLTS,BOLTO,2,2018.3,,,,,,
THUNDERBOLTS,BOLTU,3,2018.3,6.04E-05,,,,,
THUNDERBOLTS,BOLTY,4,2018.3,,,,,,7.33E-05
BLACK JACKS,BLACK JACKS,,2018.3,,,,,,
BLACK JACKS,CLUB,1,2018.3,,,,,,
BLACK JACKS,SPADE,2,2018.3,,,,,,
BLACK JACKS,HEART,3,2018.3,,,,,,
BLACK JACKS,DIAMOND,4,2018.3,,,,,,
CHOCOLATIERS,CHOCOLATIERS,,2018.3,,,,,,
CHOCOLATIERS,COCOA,1,2018.3,,,,,,
CHOCOLATIERS,CHOC,2,2018.3,,,,,,
CHOCOLATIERS,MOCHA,3,2018.3,,,,,,
CHOCOLATIERS,BONBON,4,2018.3,,,,,,
GLIDING GLACIERS,GLIDING GLACIERS,,2018.3,,,,,,
GLIDING GLACIERS,GLIDE,1,2018.3,,,,,,
GLIDING GLACIERS,GLIDY,2,2018.3,,,,,,
GLIDING GLACIERS,GLACIE,3,2018.3,,,,,,
GLIDING GLACIERS,GLACIER,4,2018.3,,,,,,
GOLDEN ORBS,GOLDEN ORBS,,2018.3,,,,,,
GOLDEN ORBS,ORBY,1,2018.3,,,,,,
GOLDEN ORBS,GLORBY,2,2018.3,,,,,,
GOLDEN ORBS,GORBY,3,2018.3,,,,,,
GOLDEN ORBS,GOLDBY,4,2018.3,,,,,,
JAWBREAKERS,JAWBREAKERS,,2018.3,,,,,,
JAWBREAKERS,CANDY,1,2018.3,,,,,,
